uname	spot	id	label
001-01-A05	1	65	M
001-01-A05	1	86	M
001-01-B05	1	50	M
001-02-A05	1	46	M
001-02-A05	1	95	M
001-02-B05	1	11	M
001-02-B05	1	76	M
001-02-C03	1	25	M
001-02-C03	1	82	M
001-02-D03	1	131	M
001-01-A05	1	16	I
001-01-A05	1	49	I
001-01-A05	1	52	I
001-01-A05	1	75	I
001-01-A05	1	79	I
001-01-B05	1	16	I
001-01-B05	1	32	I
001-01-B05	1	37	I
001-01-B05	1	48	I
001-01-B05	1	57	I
001-01-B05	1	62	I
001-01-C03	1	29	I
001-01-C03	1	34	I
001-01-C03	1	70	I
001-01-D03	1	22	I
001-01-D03	1	24	I
001-01-D03	1	39	I
001-02-A05	1	34	I
001-02-A05	1	82	I
001-02-B05	1	4	I
001-02-B05	1	17	I
001-02-B05	1	22	I
001-02-B05	1	49	I
001-02-B05	1	62	I
001-02-B05	1	66	I
001-02-C03	1	8	I
001-02-C03	1	27	I
001-02-C03	1	38	I
001-02-C03	1	41	I
001-02-D03	1	98	I
001-02-D03	1	109	I
001-02-D03	1	117	I
001-01-A03	1	2	D
001-01-A03	1	6	D
001-01-A03	1	8	D
001-01-A03	1	17	D
001-01-B03	1	13	D
001-01-B03	1	15	D
001-01-B03	1	16	D
001-01-B03	1	19	D
001-01-B03	1	20	D
001-01-B05	1	31	D
001-01-B05	1	71	D
001-02-A03	1	12	D
001-02-A03	1	13	D
001-02-A03	1	14	D
001-02-A03	1	15	D
001-02-A03	1	17	D
001-02-A03	1	18	D
001-02-A03	1	21	D
001-02-A03	1	22	D
001-02-A03	1	23	D
001-02-B03	1	25	D
001-02-B03	1	30	D
001-02-B03	1	40	D
001-02-B03	1	42	D
